id,external_id,merchant_id,amount,transaction_time,bank_reference,description,type,metadata_json
btxn_heldout_0000,btxn_heldout_0000,merch_001,32007.4,2026-01-03T01:17:00,pay_heldout_0000,Settlement setl_heldout_0000,CREDIT,{}
btxn_heldout_0001,btxn_heldout_0001,merch_001,5214.51,2026-01-25T19:05:00,pay_heldout_0001,Settlement setl_heldout_0001,CREDIT,{}
btxn_heldout_0004,btxn_heldout_0004,merch_001,17078.5,2026-01-06T08:48:00,pay_heldout_0004,Settlement setl_heldout_0004,CREDIT,{}
btxn_heldout_0006,btxn_heldout_0006,merch_001,26857.78,2026-01-31T14:05:00,pay_heldout_0006,Settlement setl_heldout_0006,CREDIT,{}
btxn_heldout_0008,btxn_heldout_0008,merch_001,38676.11,2026-01-04T09:55:00,pay_heldout_0008,Settlement setl_heldout_0008,CREDIT,{}
btxn_heldout_0011,btxn_heldout_0011,merch_001,8253.78,2026-01-14T10:59:00,pay_heldout_0011,Settlement setl_heldout_0011,CREDIT,{}
btxn_heldout_0012,btxn_heldout_0012,merch_001,38438.85,2026-01-03T09:52:00,pay_heldout_0012,Settlement setl_heldout_0012,CREDIT,{}
btxn_heldout_0014,btxn_heldout_0014,merch_001,19842.03,2026-01-31T22:29:00,pay_heldout_0014,Settlement setl_heldout_0014,CREDIT,{}
btxn_heldout_0015,btxn_heldout_0015,merch_001,37274.95,2026-01-19T10:47:00,pay_heldout_0015,Settlement setl_heldout_0015,CREDIT,{}
btxn_heldout_0016,btxn_heldout_0016,merch_001,11044.11,2026-01-06T18:31:00,wrong_pay_heldout_0016,Settlement setl_heldout_0016,CREDIT,{}
btxn_heldout_0017,btxn_heldout_0017,merch_001,7726.78,2026-01-07T23:27:00,pay_heldout_0017,Settlement setl_heldout_0017,CREDIT,{}
btxn_heldout_0019,btxn_heldout_0019,merch_001,34117.35,2026-01-19T10:49:00,pay_heldout_0019,Settlement setl_heldout_0019,CREDIT,{}
btxn_heldout_0020,btxn_heldout_0020,merch_001,7992.07,2026-01-03T01:56:00,pay_heldout_0020,Settlement setl_heldout_0020,CREDIT,{}
btxn_heldout_0021,btxn_heldout_0021,merch_001,25433.32,2026-01-05T22:19:00,pay_heldout_0021,Settlement setl_heldout_0021,CREDIT,{}
btxn_heldout_0022,btxn_heldout_0022,merch_001,18758.3,2026-01-07T19:49:00,pay_heldout_0022,Settlement setl_heldout_0022,CREDIT,{}
btxn_heldout_0023,btxn_heldout_0023,merch_001,24481.42,2026-01-05T13:56:00,pay_heldout_0023,Settlement setl_heldout_0023,CREDIT,{}
btxn_heldout_0024,btxn_heldout_0024,merch_001,43912.68,2026-02-01T04:05:00,pay_heldout_0024,Settlement setl_heldout_0024,CREDIT,{}
btxn_heldout_0024_ambig,btxn_heldout_0024_ambig,merch_001,43912.68,2026-02-01T04:05:00,pay_heldout_0024,Settlement setl_heldout_0024,CREDIT,{}
btxn_heldout_0025,btxn_heldout_0025,merch_001,26682.04,2026-01-06T06:42:00,pay_heldout_0025,Settlement setl_heldout_0025,CREDIT,{}
