id,external_id,merchant_id,amount,transaction_time,bank_reference,description,type,metadata_json
btxn_batch2_0000,btxn_batch2_0000,merch_custom_2,3714.78,2026-02-27T04:09:00,pay_batch2_0000,Settlement setl_batch2_0000,CREDIT,{}
btxn_batch2_0001,btxn_batch2_0001,merch_custom_2,2727.62,2026-02-23T09:15:00,pay_batch2_0001,Settlement setl_batch2_0001,CREDIT,{}
btxn_batch2_0002,btxn_batch2_0002,merch_custom_2,1336.16,2026-02-26T11:06:00,pay_batch2_0002,Settlement setl_batch2_0002,CREDIT,{}
btxn_batch2_0003,btxn_batch2_0003,merch_custom_2,1293.01,2026-02-24T05:15:00,pay_batch2_0003,Settlement setl_batch2_0003,CREDIT,{}
btxn_batch2_0004,btxn_batch2_0004,merch_custom_2,326.68,2026-02-28T00:17:00,pay_batch2_0004,Settlement setl_batch2_0004,CREDIT,{}
btxn_batch2_0005,btxn_batch2_0005,merch_custom_2,2535.27,2026-02-23T13:54:00,pay_batch2_0005,Settlement setl_batch2_0005,CREDIT,{}
btxn_batch2_0006,btxn_batch2_0006,merch_custom_2,1054.64,2026-02-25T17:02:00,pay_batch2_0006,Settlement setl_batch2_0006,CREDIT,{}
btxn_batch2_0007,btxn_batch2_0007,merch_custom_2,513.14,2026-02-25T14:12:00,pay_batch2_0007,Settlement setl_batch2_0007,CREDIT,{}
btxn_batch2_0008,btxn_batch2_0008,merch_custom_2,62.34,2026-02-27T01:42:00,pay_batch2_0008,Settlement setl_batch2_0008,CREDIT,{}
btxn_batch2_0009,btxn_batch2_0009,merch_custom_2,756.33,2026-02-27T20:10:00,pay_batch2_0009,Settlement setl_batch2_0009,CREDIT,{}
btxn_batch2_0010,btxn_batch2_0010,merch_custom_2,317.73,2026-02-25T02:55:00,pay_batch2_0010,Settlement setl_batch2_0010,CREDIT,{}
btxn_batch2_0011,btxn_batch2_0011,merch_custom_2,395.38,2026-02-25T23:46:00,pay_batch2_0011,Settlement setl_batch2_0011,CREDIT,{}
btxn_batch2_0012,btxn_batch2_0012,merch_custom_2,640.36,2026-02-27T06:50:00,wrong_pay_batch2_0012,Settlement setl_batch2_0012,CREDIT,{}
btxn_batch2_0013,btxn_batch2_0013,merch_custom_2,3088.44,2026-02-27T01:35:00,pay_batch2_0013,Settlement setl_batch2_0013,CREDIT,{}
btxn_batch2_0015,btxn_batch2_0015,merch_custom_2,2279.19,2026-02-22T04:30:00,pay_batch2_0015,Settlement setl_batch2_0015,CREDIT,{}
btxn_batch2_0016,btxn_batch2_0016,merch_custom_2,1180.83,2026-02-25T11:20:00,pay_batch2_0016,Settlement setl_batch2_0016,CREDIT,{}
btxn_batch2_0017,btxn_batch2_0017,merch_custom_2,1412.67,2026-02-26T20:35:00,pay_batch2_0017,Settlement setl_batch2_0017,CREDIT,{}
btxn_batch2_0018,btxn_batch2_0018,merch_custom_2,546.59,2026-02-27T06:08:00,pay_batch2_0018,Settlement setl_batch2_0018,CREDIT,{}
btxn_batch2_0019,btxn_batch2_0019,merch_custom_2,3358.93,2026-02-26T01:07:00,pay_batch2_0019,Settlement setl_batch2_0019,CREDIT,{}
btxn_batch2_0020,btxn_batch2_0020,merch_custom_2,1246.94,2026-02-22T21:53:00,pay_batch2_0020,Settlement setl_batch2_0020,CREDIT,{}
btxn_batch2_0021,btxn_batch2_0021,merch_custom_2,1586.22,2026-02-27T15:18:00,wrong_pay_batch2_0021,Settlement setl_batch2_0021,CREDIT,{}
btxn_batch2_0022,btxn_batch2_0022,merch_custom_2,4371.67,2026-02-27T03:56:00,pay_batch2_0022,Settlement setl_batch2_0022,CREDIT,{}
btxn_batch2_0023,btxn_batch2_0023,merch_custom_2,3863.71,2026-02-27T03:16:00,pay_batch2_0023,Settlement setl_batch2_0023,CREDIT,{}
btxn_batch2_0024,btxn_batch2_0024,merch_custom_2,3286.83,2026-02-23T16:04:00,pay_batch2_0024,Settlement setl_batch2_0024,CREDIT,{}
btxn_batch2_0025,btxn_batch2_0025,merch_custom_2,850.6,2026-02-27T11:08:00,pay_batch2_0025,Settlement setl_batch2_0025,CREDIT,{}
btxn_batch2_0027,btxn_batch2_0027,merch_custom_2,48.86,2026-02-26T21:00:00,pay_batch2_0027,Settlement setl_batch2_0027,CREDIT,{}
btxn_batch2_0028,btxn_batch2_0028,merch_custom_2,863.48,2026-02-24T11:19:00,pay_batch2_0028,Settlement setl_batch2_0028,CREDIT,{}
