id,external_id,merchant_id,amount,currency,payment_time,customer_reference,order_reference,status,metadata_json
pay_batch2_0000,pay_batch2_0000,merch_custom_2,3714.78,INR,2026-02-26T02:09:00,cust_561,order_9739,captured,{}
pay_batch2_0001,pay_batch2_0001,merch_custom_2,2783.29,INR,2026-02-22T07:15:00,cust_268,order_2394,captured,{}
pay_batch2_0002,pay_batch2_0002,merch_custom_2,1336.16,INR,2026-02-25T09:06:00,cust_347,order_4850,captured,{}
pay_batch2_0003,pay_batch2_0003,merch_custom_2,1293.01,INR,2026-02-23T03:15:00,cust_626,order_6108,captured,{}
pay_batch2_0004,pay_batch2_0004,merch_custom_2,326.68,INR,2026-02-26T22:17:00,cust_180,order_9521,captured,{}
pay_batch2_0005,pay_batch2_0005,merch_custom_2,2587.01,INR,2026-02-22T11:54:00,cust_442,order_8635,captured,{}
pay_batch2_0006,pay_batch2_0006,merch_custom_2,1054.64,INR,2026-02-24T15:02:00,cust_175,order_1903,captured,{}
pay_batch2_0007,pay_batch2_0007,merch_custom_2,513.14,INR,2026-02-24T12:12:00,cust_635,order_9673,captured,{}
pay_batch2_0008,pay_batch2_0008,merch_custom_2,62.34,INR,2026-02-25T23:42:00,cust_308,order_6684,captured,{}
pay_batch2_0009,pay_batch2_0009,merch_custom_2,771.77,INR,2026-02-26T18:10:00,cust_737,order_5957,captured,{}
pay_batch2_0010,pay_batch2_0010,merch_custom_2,324.21,INR,2026-02-24T00:55:00,cust_192,order_5497,captured,{}
pay_batch2_0011,pay_batch2_0011,merch_custom_2,395.38,INR,2026-02-24T21:46:00,cust_920,order_8587,captured,{}
pay_batch2_0012,pay_batch2_0012,merch_custom_2,640.36,INR,2026-02-26T04:50:00,cust_736,order_9799,captured,{}
pay_batch2_0013,pay_batch2_0013,merch_custom_2,3088.44,INR,2026-02-25T23:35:00,cust_433,order_9159,captured,{}
pay_batch2_0014,pay_batch2_0014,merch_custom_2,4350.15,INR,2026-02-25T09:10:00,cust_303,order_4673,captured,{}
pay_batch2_0015,pay_batch2_0015,merch_custom_2,2279.19,INR,2026-02-21T02:30:00,cust_996,order_5064,captured,{}
pay_batch2_0016,pay_batch2_0016,merch_custom_2,1180.83,INR,2026-02-24T09:20:00,cust_649,order_9741,captured,{}
pay_batch2_0017,pay_batch2_0017,merch_custom_2,1412.67,INR,2026-02-25T18:35:00,cust_850,order_1318,captured,{}
pay_batch2_0018,pay_batch2_0018,merch_custom_2,546.59,INR,2026-02-26T04:08:00,cust_591,order_8023,captured,{}
pay_batch2_0019,pay_batch2_0019,merch_custom_2,3358.93,INR,2026-02-24T23:07:00,cust_981,order_5491,captured,{}
pay_batch2_0020,pay_batch2_0020,merch_custom_2,1246.94,INR,2026-02-21T19:53:00,cust_698,order_5612,captured,{}
pay_batch2_0021,pay_batch2_0021,merch_custom_2,1586.22,INR,2026-02-26T13:18:00,cust_180,order_5046,captured,{}
pay_batch2_0022,pay_batch2_0022,merch_custom_2,4371.67,INR,2026-02-26T01:56:00,cust_637,order_7444,captured,{}
pay_batch2_0023,pay_batch2_0023,merch_custom_2,3863.71,INR,2026-02-26T01:16:00,cust_983,order_4660,captured,{}
pay_batch2_0024,pay_batch2_0024,merch_custom_2,3353.91,INR,2026-02-22T14:04:00,cust_314,order_4569,captured,{}
pay_batch2_0025,pay_batch2_0025,merch_custom_2,850.6,INR,2026-02-26T09:08:00,cust_421,order_4022,captured,{}
pay_batch2_0026,pay_batch2_0026,merch_custom_2,2024.52,INR,2026-02-22T13:46:00,cust_933,order_8354,captured,{}
pay_batch2_0027,pay_batch2_0027,merch_custom_2,48.86,INR,2026-02-25T19:00:00,cust_979,order_4636,captured,{}
pay_batch2_0028,pay_batch2_0028,merch_custom_2,863.48,INR,2026-02-23T09:19:00,cust_888,order_1915,captured,{}
pay_batch2_0029,pay_batch2_0029,merch_custom_2,1188.02,INR,2026-02-24T07:00:00,cust_975,order_1652,captured,{}
pay_batch2_0030,pay_batch2_0030,merch_custom_2,4212.2,INR,2026-02-22T13:57:00,cust_963,order_2052,captured,{}
pay_batch2_0031,pay_batch2_0031,merch_custom_2,2304.01,INR,2026-02-22T00:52:00,cust_665,order_3420,captured,{}
pay_batch2_0032,pay_batch2_0032,merch_custom_2,898.59,INR,2026-02-25T17:58:00,cust_647,order_9490,captured,{}
pay_batch2_0033,pay_batch2_0033,merch_custom_2,4397.37,INR,2026-02-22T14:30:00,cust_784,order_9628,captured,{}
pay_batch2_0034,pay_batch2_0034,merch_custom_2,917.5,INR,2026-02-24T15:06:00,cust_125,order_5223,captured,{}
pay_batch2_0035,pay_batch2_0035,merch_custom_2,3178.46,INR,2026-02-25T20:21:00,cust_861,order_9257,captured,{}
pay_batch2_0036,pay_batch2_0036,merch_custom_2,2683.89,INR,2026-02-22T06:57:00,cust_399,order_3916,captured,{}
pay_batch2_0037,pay_batch2_0037,merch_custom_2,2018.12,INR,2026-02-22T10:39:00,cust_608,order_9800,captured,{}
pay_batch2_0038,pay_batch2_0038,merch_custom_2,1421.1,INR,2026-02-22T03:49:00,cust_331,order_8729,captured,{}
pay_batch2_0039,pay_batch2_0039,merch_custom_2,4401.8,INR,2026-02-22T11:42:00,cust_839,order_1376,captured,{}
pay_batch2_0040,pay_batch2_0040,merch_custom_2,2504.71,INR,2026-02-26T13:02:00,cust_883,order_8829,captured,{}
pay_batch2_0041,pay_batch2_0041,merch_custom_2,1040.9,INR,2026-02-24T03:36:00,cust_664,order_7169,captured,{}
pay_batch2_0042,pay_batch2_0042,merch_custom_2,3272.34,INR,2026-02-22T01:14:00,cust_637,order_9698,captured,{}
