id,external_id,merchant_id,settlement_amount,settlement_time,reference,status,metadata_json
setl_batch2_0000,setl_batch2_0000,merch_custom_2,3714.78,2026-02-27T02:09:00,pay_batch2_0000,processed,{}
setl_batch2_0001,setl_batch2_0001,merch_custom_2,2727.62,2026-02-23T07:15:00,pay_batch2_0001,processed,{}
setl_batch2_0002,setl_batch2_0002,merch_custom_2,1336.16,2026-02-26T09:06:00,pay_batch2_0002,processed,{}
setl_batch2_0003,setl_batch2_0003,merch_custom_2,1293.01,2026-02-24T03:15:00,pay_batch2_0003,processed,{}
setl_batch2_0004,setl_batch2_0004,merch_custom_2,326.68,2026-02-27T22:17:00,pay_batch2_0004,processed,{}
setl_batch2_0005,setl_batch2_0005,merch_custom_2,2535.27,2026-02-23T11:54:00,pay_batch2_0005,processed,{}
setl_batch2_0006,setl_batch2_0006,merch_custom_2,1054.64,2026-02-25T15:02:00,pay_batch2_0006,processed,{}
setl_batch2_0006_dup,setl_batch2_0006_dup,merch_custom_2,1054.64,2026-02-25T15:02:00,pay_batch2_0006,processed,{}
setl_batch2_0007,setl_batch2_0007,merch_custom_2,523.14,2026-02-25T12:12:00,pay_batch2_0007,processed,{}
setl_batch2_0008,setl_batch2_0008,merch_custom_2,72.34,2026-02-26T23:42:00,pay_batch2_0008,processed,{}
setl_batch2_0009,setl_batch2_0009,merch_custom_2,756.33,2026-02-27T18:10:00,pay_batch2_0009,processed,{}
setl_batch2_0010,setl_batch2_0010,merch_custom_2,317.73,2026-02-25T00:55:00,pay_batch2_0010,processed,{}
setl_batch2_0011,setl_batch2_0011,merch_custom_2,395.38,2026-02-25T21:46:00,pay_batch2_0011,processed,{}
setl_batch2_0012,setl_batch2_0012,merch_custom_2,640.36,2026-02-27T04:50:00,wrong_pay_batch2_0012,processed,{}
setl_batch2_0013,setl_batch2_0013,merch_custom_2,3088.44,2026-02-26T23:35:00,pay_batch2_0013,processed,{}
setl_batch2_0015,setl_batch2_0015,merch_custom_2,2279.19,2026-02-22T02:30:00,pay_batch2_0015,processed,{}
setl_batch2_0016,setl_batch2_0016,merch_custom_2,1190.83,2026-02-25T09:20:00,pay_batch2_0016,processed,{}
setl_batch2_0017,setl_batch2_0017,merch_custom_2,1422.67,2026-02-26T18:35:00,pay_batch2_0017,processed,{}
setl_batch2_0018,setl_batch2_0018,merch_custom_2,546.59,2026-02-27T04:08:00,pay_batch2_0018,processed,{}
setl_batch2_0019,setl_batch2_0019,merch_custom_2,3358.93,2026-02-25T23:07:00,pay_batch2_0019,processed,{}
setl_batch2_0020,setl_batch2_0020,merch_custom_2,1246.94,2026-02-22T19:53:00,pay_batch2_0020,processed,{}
