id,external_id,merchant_id,amount,transaction_time,bank_reference,description,type,metadata_json
btxn_12e765fd9661,btxn_12e765fd9661,merch_1d7b999b,32007.4,2026-01-03T01:17:00,pay_4526a339be5c,Settlement setl_f5f86b073ce8,CREDIT,{}
btxn_0b0c7960b624,btxn_0b0c7960b624,merch_1d7b999b,5214.51,2026-01-25T19:05:00,pay_0526ece484b6,Settlement setl_66282a5ae109,CREDIT,{}
btxn_7365ac215c9b,btxn_7365ac215c9b,merch_1d7b999b,21034.04,2026-01-16T20:17:00,pay_e440a6dbf8a9,Settlement setl_5d874530863a,CREDIT,{}
btxn_043a3a90c362,btxn_043a3a90c362,merch_1d7b999b,17078.5,2026-01-06T08:48:00,pay_73bb16777706,Settlement setl_7c3a5fddb2f1,CREDIT,{}
btxn_fb4a6a7bb15e,btxn_fb4a6a7bb15e,merch_1d7b999b,26857.78,2026-01-31T14:05:00,pay_0c9044e9f91e,Settlement setl_a908d35c4a4b,CREDIT,{}
btxn_bd60cfd45c79,btxn_bd60cfd45c79,merch_1d7b999b,43099.17,2026-01-20T08:45:00,pay_0b905630a13d,Settlement setl_806539ab0edc,CREDIT,{}
btxn_ca0887cf8ab9,btxn_ca0887cf8ab9,merch_1d7b999b,38676.11,2026-01-04T09:55:00,pay_66dec4433b62,Settlement setl_c5fb5ee8618f,CREDIT,{}
btxn_568e433c31ce,btxn_568e433c31ce,merch_1d7b999b,31820.65,2026-01-13T07:23:00,pay_834be31b11e7,Settlement setl_f0a051812966,CREDIT,{}
btxn_d83a747d88ac,btxn_d83a747d88ac,merch_1d7b999b,8253.78,2026-01-14T10:59:00,pay_50196588bc45,Settlement setl_5c4c112c23d4,CREDIT,{}
btxn_d73fb6653809,btxn_d73fb6653809,merch_1d7b999b,38438.85,2026-01-03T09:52:00,pay_f1e3ab8e3fb4,Settlement setl_6bf15e8490d3,CREDIT,{}
btxn_aae4247f6dac,btxn_aae4247f6dac,merch_1d7b999b,3402.81,2026-01-31T20:56:00,pay_f0d37e69f2df,Settlement setl_6ab21b4a4600,CREDIT,{}
btxn_eb95e792c8f0,btxn_eb95e792c8f0,merch_1d7b999b,19842.03,2026-01-31T22:29:00,pay_3caa66cd188d,Settlement setl_e8c1a78b0578,CREDIT,{}
btxn_2521c2cfa2f8,btxn_2521c2cfa2f8,merch_1d7b999b,37274.95,2026-01-19T10:47:00,pay_32785ac492e9,Settlement setl_b86bc7042f47,CREDIT,{}
