id,external_id,merchant_id,amount,currency,payment_time,customer_reference,order_reference,status,metadata_json
pay_demo_0000,pay_demo_0000,merch_001,32007.4,INR,2026-01-01T23:17:00,cust_5012,order_39256,captured,{}
pay_demo_0001,pay_demo_0001,merch_001,5214.51,INR,2026-01-24T17:05:00,cust_7912,order_14165,captured,{}
pay_demo_0002,pay_demo_0002,merch_001,11010.03,INR,2026-01-17T19:01:00,cust_4257,order_95181,captured,{}
pay_demo_0003,pay_demo_0003,merch_001,21034.04,INR,2026-01-15T18:17:00,cust_1106,order_30926,captured,{}
pay_demo_0004,pay_demo_0004,merch_001,17078.5,INR,2026-01-05T06:48:00,cust_6514,order_23396,captured,{}
pay_demo_0005,pay_demo_0005,merch_001,4926.15,INR,2026-01-28T11:38:00,cust_5333,order_15695,captured,{}
pay_demo_0006,pay_demo_0006,merch_001,26857.78,INR,2026-01-30T12:05:00,cust_5803,order_92397,captured,{}
pay_demo_0007,pay_demo_0007,merch_001,43099.17,INR,2026-01-19T06:45:00,cust_2139,order_16006,captured,{}
pay_demo_0008,pay_demo_0008,merch_001,38676.11,INR,2026-01-03T07:55:00,cust_2654,order_59823,captured,{}
pay_demo_0009,pay_demo_0009,merch_001,31820.65,INR,2026-01-12T05:23:00,cust_6820,order_37460,captured,{}
pay_demo_0010,pay_demo_0010,merch_001,35120.83,INR,2026-01-22T20:04:00,cust_3803,order_80010,captured,{}
pay_demo_0011,pay_demo_0011,merch_001,8253.78,INR,2026-01-13T08:59:00,cust_4598,order_99733,captured,{}
pay_demo_0012,pay_demo_0012,merch_001,38438.85,INR,2026-01-02T07:52:00,cust_1525,order_51347,captured,{}
pay_demo_0013,pay_demo_0013,merch_001,3402.81,INR,2026-01-30T18:56:00,cust_6155,order_37869,captured,{}
pay_demo_0014,pay_demo_0014,merch_001,19842.03,INR,2026-01-30T20:29:00,cust_3340,order_44718,captured,{}
pay_demo_0015,pay_demo_0015,merch_001,37274.95,INR,2026-01-18T08:47:00,cust_8019,order_86484,captured,{}
pay_demo_0016,pay_demo_0016,merch_001,11044.11,INR,2026-01-05T16:31:00,cust_2489,order_16175,captured,{}
pay_demo_0017,pay_demo_0017,merch_001,7726.78,INR,2026-01-06T21:27:00,cust_2040,order_60432,captured,{}
pay_demo_0018,pay_demo_0018,merch_001,49806.46,INR,2026-01-17T08:35:00,cust_1188,order_99166,captured,{}
pay_demo_0019,pay_demo_0019,merch_001,34117.35,INR,2026-01-18T08:49:00,cust_6573,order_24621,captured,{}
pay_demo_0020,pay_demo_0020,merch_001,7992.07,INR,2026-01-01T23:56:00,cust_5315,order_75612,captured,{}
pay_demo_0021,pay_demo_0021,merch_001,25433.32,INR,2026-01-04T20:19:00,cust_9317,order_89818,captured,{}
pay_demo_0022,pay_demo_0022,merch_001,18758.3,INR,2026-01-06T17:49:00,cust_9689,order_10074,captured,{}
pay_demo_0023,pay_demo_0023,merch_001,24481.42,INR,2026-01-04T11:56:00,cust_6038,order_41385,captured,{}
pay_demo_0024,pay_demo_0024,merch_001,43912.68,INR,2026-01-31T02:05:00,cust_8962,order_19071,captured,{}
pay_demo_0025,pay_demo_0025,merch_001,26682.04,INR,2026-01-05T04:42:00,cust_8787,order_82063,captured,{}
pay_demo_0026,pay_demo_0026,merch_001,26430.92,INR,2026-01-20T13:13:00,cust_9835,order_36365,captured,{}
pay_demo_0027,pay_demo_0027,merch_001,20009.72,INR,2026-01-22T20:23:00,cust_8177,order_77839,captured,{}
pay_demo_0028,pay_demo_0028,merch_001,12470.49,INR,2026-01-03T10:01:00,cust_4770,order_87128,captured,{}
pay_demo_0029,pay_demo_0029,merch_001,3642.55,INR,2026-01-21T01:14:00,cust_2104,order_14117,captured,{}
pay_demo_0030,pay_demo_0030,merch_001,3635.78,INR,2026-01-08T08:42:00,cust_8953,order_38080,captured,{}
pay_demo_0031,pay_demo_0031,merch_001,36195.29,INR,2026-01-29T18:36:00,cust_8744,order_41850,captured,{}
pay_demo_0032,pay_demo_0032,merch_001,40394.1,INR,2026-01-07T03:06:00,cust_8062,order_56438,captured,{}
pay_demo_0033,pay_demo_0033,merch_001,23404.53,INR,2026-01-24T01:43:00,cust_2612,order_17944,captured,{}
pay_demo_0034,pay_demo_0034,merch_001,17031.2,INR,2026-01-28T03:15:00,cust_4139,order_34931,captured,{}
pay_demo_0035,pay_demo_0035,merch_001,7095.1,INR,2026-01-06T08:29:00,cust_5092,order_19880,captured,{}
pay_demo_0036,pay_demo_0036,merch_001,43081.32,INR,2026-01-18T03:03:00,cust_9856,order_11934,captured,{}
pay_demo_0037,pay_demo_0037,merch_001,46325.71,INR,2026-01-28T07:10:00,cust_7658,order_73653,captured,{}
pay_demo_0038,pay_demo_0038,merch_001,43246.05,INR,2026-01-29T01:10:00,cust_7209,order_10282,captured,{}
pay_demo_0039,pay_demo_0039,merch_001,13333.63,INR,2026-01-26T14:18:00,cust_7930,order_82845,captured,{}
pay_demo_0040,pay_demo_0040,merch_001,24384.9,INR,2026-01-07T09:13:00,cust_1958,order_85914,captured,{}
pay_demo_0041,pay_demo_0041,merch_001,3141.78,INR,2026-01-11T01:03:00,cust_8811,order_75909,captured,{}
pay_demo_0042,pay_demo_0042,merch_001,26603.19,INR,2026-01-02T16:05:00,cust_4044,order_18981,captured,{}
pay_demo_0043,pay_demo_0043,merch_001,33793.11,INR,2026-01-08T12:07:00,cust_5033,order_85880,captured,{}
pay_demo_0044,pay_demo_0044,merch_001,31007.14,INR,2026-01-14T21:37:00,cust_9565,order_51467,captured,{}
pay_demo_0045,pay_demo_0045,merch_001,10292.53,INR,2026-01-23T10:15:00,cust_5351,order_61876,captured,{}
