id,external_id,merchant_id,settlement_amount,settlement_time,reference,status,metadata_json
setl_f5f86b073ce8,setl_f5f86b073ce8,merch_1d7b999b,32007.4,2026-01-02T23:17:00,pay_4526a339be5c,processed,{}
setl_66282a5ae109,setl_66282a5ae109,merch_1d7b999b,5214.51,2026-01-25T17:05:00,pay_0526ece484b6,processed,{}
setl_5d874530863a,setl_5d874530863a,merch_1d7b999b,21044.04,2026-01-16T18:17:00,pay_e440a6dbf8a9,processed,{}
setl_7c3a5fddb2f1,setl_7c3a5fddb2f1,merch_1d7b999b,17078.5,2026-01-06T06:48:00,pay_73bb16777706,processed,{}
setl_a908d35c4a4b,setl_a908d35c4a4b,merch_1d7b999b,26867.78,2026-01-31T12:05:00,pay_0c9044e9f91e,processed,{}
setl_806539ab0edc,setl_806539ab0edc,merch_1d7b999b,43109.17,2026-01-20T06:45:00,pay_0b905630a13d,processed,{}
setl_c5fb5ee8618f,setl_c5fb5ee8618f,merch_1d7b999b,38676.11,2026-01-04T07:55:00,pay_66dec4433b62,processed,{}
setl_f0a051812966,setl_f0a051812966,merch_1d7b999b,31830.65,2026-01-13T05:23:00,pay_834be31b11e7,processed,{}
setl_5c4c112c23d4,setl_5c4c112c23d4,merch_1d7b999b,8253.78,2026-01-14T08:59:00,pay_50196588bc45,processed,{}
setl_6bf15e8490d3,setl_6bf15e8490d3,merch_1d7b999b,38438.85,2026-01-03T07:52:00,pay_f1e3ab8e3fb4,processed,{}
setl_6ab21b4a4600,setl_6ab21b4a4600,merch_1d7b999b,3412.81,2026-01-31T18:56:00,pay_f0d37e69f2df,processed,{}
setl_e8c1a78b0578,setl_e8c1a78b0578,merch_1d7b999b,19842.03,2026-01-31T20:29:00,pay_3caa66cd188d,processed,{}
setl_b86bc7042f47,setl_b86bc7042f47,merch_1d7b999b,37274.95,2026-01-19T08:47:00,pay_32785ac492e9,processed,{}
setl_10aeed09dd0b,setl_10aeed09dd0b,merch_1d7b999b,10823.23,2026-01-06T16:31:00,pay_5b11fd6cdbd0,processed,{}
setl_672e5255bac7,setl_672e5255bac7,merch_1d7b999b,7726.78,2026-01-07T21:27:00,pay_d5c799f1f884,processed,{}
setl_6c82b6b84e9f,setl_6c82b6b84e9f,merch_1d7b999b,34117.35,2026-01-19T08:49:00,pay_78a091eec140,processed,{}
setl_5139228944a5,setl_5139228944a5,merch_1d7b999b,25433.32,2026-01-05T20:19:00,pay_41a1cd42f5f5,processed,{}
setl_52c0fd36ea3f,setl_52c0fd36ea3f,merch_1d7b999b,18758.3,2026-01-07T17:49:00,pay_4353c66d0a44,processed,{}
setl_5df2652b3f6f,setl_5df2652b3f6f,merch_1d7b999b,24481.42,2026-01-05T11:56:00,pay_c1aaf28f66ab,processed,{}
setl_36ccc82c21af,setl_36ccc82c21af,merch_1d7b999b,21956.34,2026-02-01T02:05:00,pay_5ad6d8ab2b1e,processed,{}
setl_e7d7edc93b60,setl_e7d7edc93b60,merch_1d7b999b,26682.04,2026-01-06T04:42:00,pay_9a1ee9ae4dac,processed,{}
setl_a91646732c31,setl_a91646732c31,merch_1d7b999b,20009.72,2026-01-23T20:23:00,pay_37ac3a006ca0,processed,{}
setl_8e730996fe10,setl_8e730996fe10,merch_1d7b999b,12470.49,2026-01-04T10:01:00,pay_3e91fbcfee3d,processed,{}
setl_a16e672f8e89,setl_a16e672f8e89,merch_1d7b999b,3569.70,2026-01-22T01:14:00,pay_ddb59e67b9c8,processed,{}
setl_87c0ca99373a,setl_87c0ca99373a,merch_1d7b999b,3635.78,2026-01-09T08:42:00,pay_5a90f480575d,processed,{}
setl_73133bf2caa1,setl_73133bf2caa1,merch_1d7b999b,36195.29,2026-01-30T18:36:00,pay_a70c9c866b51,processed,{}
setl_73133bf2caa1_dup,setl_73133bf2caa1_dup,merch_1d7b999b,36195.29,2026-01-30T18:36:00,pay_a70c9c866b51,processed,{}
setl_e7c0429ce27a,setl_e7c0429ce27a,merch_1d7b999b,40394.1,2026-01-08T03:06:00,pay_39d8d3eda326,processed,{}
setl_e0076b6cd2fa,setl_e0076b6cd2fa,merch_1d7b999b,23404.53,2026-01-25T01:43:00,pay_e78bdedc423f,processed,{}
setl_15427e150cc6,setl_15427e150cc6,merch_1d7b999b,17031.2,2026-01-29T03:15:00,pay_bab78aee2f39,processed,{}
setl_18b8f88cb970,setl_18b8f88cb970,merch_1d7b999b,7095.1,2026-01-07T08:29:00,pay_4e8ed9608eb7,processed,{}
setl_a5a7f6f8f257,setl_a5a7f6f8f257,merch_1d7b999b,21540.66,2026-01-19T03:03:00,pay_f34ffeddd9ac,processed,{}
setl_a4ebc612a80b,setl_a4ebc612a80b,merch_1d7b999b,46325.71,2026-01-29T07:10:00,pay_4d40ffe6f1b3,processed,{}
setl_76f23020e28a,setl_76f23020e28a,merch_1d7b999b,21623.02,2026-01-30T01:10:00,pay_89bdfcd4eaaf,processed,{}
setl_1d96f5e9d1e6,setl_1d96f5e9d1e6,merch_1d7b999b,13343.63,2026-01-27T14:18:00,pay_8788d2f9f9dc,processed,{}
setl_70f36ffdd645,setl_70f36ffdd645,merch_1d7b999b,3141.78,2026-01-12T01:03:00,wrong_pay_5671d9b13610,processed,{}
setl_dca688c8288c,setl_dca688c8288c,merch_1d7b999b,26603.19,2026-01-03T16:05:00,pay_d2f29aed59b2,processed,{}
setl_dede62ab3b42,setl_dede62ab3b42,merch_1d7b999b,33793.11,2026-01-09T12:07:00,pay_21cf58960601,processed,{}
setl_fc7bae6faca8,setl_fc7bae6faca8,merch_1d7b999b,31007.14,2026-01-19T21:37:00,pay_32db618778d0,processed,{}
setl_a806001daa7f,setl_a806001daa7f,merch_1d7b999b,10292.53,2026-01-24T10:15:00,pay_ad380a4f91b4,processed,{}
setl_9d376033371d,setl_9d376033371d,merch_1d7b999b,32310.49,2026-01-16T10:59:00,pay_6b020d93ad2d,processed,{}
setl_d7ecd7d6f49f,setl_d7ecd7d6f49f,merch_1d7b999b,49922.88,2026-01-05T02:34:00,pay_34a26bfa586d,processed,{}
setl_fb92826d1bc2,setl_fb92826d1bc2,merch_1d7b999b,46669.64,2026-01-30T02:56:00,pay_68412a6c09a6,processed,{}
setl_02eede1a3865,setl_02eede1a3865,merch_1d7b999b,21975.41,2026-01-19T22:19:00,pay_2c2f274b851e,processed,{}
setl_980d6bc3e408,setl_980d6bc3e408,merch_1d7b999b,27774.65,2026-01-31T21:06:00,pay_6440a02fed9b,processed,{}
setl_7601ba577dfd,setl_7601ba577dfd,merch_1d7b999b,5441.1,2026-01-19T04:17:00,pay_4b4abbf54ee2,processed,{}
setl_f7897d801ebd,setl_f7897d801ebd,merch_1d7b999b,17209.73,2026-01-23T20:54:00,pay_381fed9ae44e,processed,{}
setl_539a66adda27,setl_539a66adda27,merch_1d7b999b,45276.29,2026-01-29T01:05:00,pay_fd55d5e057fb,processed,{}
setl_8dfbf76544b1,setl_8dfbf76544b1,merch_1d7b999b,16744.47,2026-01-06T20:16:00,pay_75d7510b52ed,processed,{}
setl_c24ed4250882,setl_c24ed4250882,merch_1d7b999b,21441.58,2026-01-02T03:04:00,pay_39579b668ab0,processed,{}
setl_26da2fbb250c,setl_26da2fbb250c,merch_1d7b999b,18523.88,2026-01-19T04:27:00,pay_15d82e6cb4a6,processed,{}
setl_ff950bab2c02,setl_ff950bab2c02,merch_1d7b999b,44969.18,2026-01-27T01:57:00,pay_25d0d6e732c8,processed,{}
setl_2e36dc9d0c59,setl_2e36dc9d0c59,merch_1d7b999b,46295.61,2026-01-09T05:51:00,pay_74100e0c8c25,processed,{}
setl_6e832e09ae1c,setl_6e832e09ae1c,merch_1d7b999b,36854.57,2026-01-12T13:51:00,pay_ee129ac8f7e0,processed,{}
setl_adfdef9aae72,setl_adfdef9aae72,merch_1d7b999b,35093.78,2026-01-14T01:54:00,pay_ec29a43f767c,processed,{}
setl_aa5f096c88d6,setl_aa5f096c88d6,merch_1d7b999b,45930.75,2026-01-13T09:52:00,pay_9c25e4b30b00,processed,{}
setl_8d0233401d56,setl_8d0233401d56,merch_1d7b999b,9737.18,2026-01-12T08:55:00,pay_301bf5ec69e9,processed,{}
setl_792e0ebabebb,setl_792e0ebabebb,merch_1d7b999b,25008.95,2026-01-23T17:21:00,pay_7b302e986fbf,processed,{}
setl_8ac62ae93f14,setl_8ac62ae93f14,merch_1d7b999b,13134.64,2026-01-20T08:02:00,pay_6dbd2f831424,processed,{}
setl_70cab82b5fed,setl_70cab82b5fed,merch_1d7b999b,36454.4,2026-01-12T13:38:00,pay_92b34a632270,processed,{}
setl_1405755b8e28,setl_1405755b8e28,merch_1d7b999b,28871.74,2026-01-10T01:45:00,pay_2a76510dfc88,processed,{}
setl_5498e6cc72c6,setl_5498e6cc72c6,merch_1d7b999b,40344.89,2026-01-23T23:47:00,pay_547ed4fcede6,processed,{}
setl_6c6adec5d9b3,setl_6c6adec5d9b3,merch_1d7b999b,46499.86,2026-01-31T10:39:00,pay_83e104a886de,processed,{}
setl_818364b732f8,setl_818364b732f8,merch_1d7b999b,36015.74,2026-01-11T16:19:00,pay_48b297fef873,processed,{}
setl_fbca57d1ed5b,setl_fbca57d1ed5b,merch_1d7b999b,8783.96,2026-01-20T09:25:00,pay_e33c6f0dcf1a,processed,{}
setl_e51536120851,setl_e51536120851,merch_1d7b999b,10588.12,2026-01-27T18:38:00,pay_12e97fb0cf20,processed,{}
setl_40c404536b26,setl_40c404536b26,merch_1d7b999b,33813.8,2026-01-18T15:50:00,pay_c0ac6c829669,processed,{}
setl_24103478186b,setl_24103478186b,merch_1d7b999b,25831.06,2026-01-22T19:21:00,pay_ee37639e675b,processed,{}
setl_745ee9955d19,setl_745ee9955d19,merch_1d7b999b,5654.78,2026-01-08T04:01:00,pay_0d39a54b888b,processed,{}
setl_740726081ddb,setl_740726081ddb,merch_1d7b999b,30602.57,2026-01-26T02:29:00,pay_246993b6fc54,processed,{}
setl_11e1e4fb3c96,setl_11e1e4fb3c96,merch_1d7b999b,35955.46,2026-01-14T15:25:00,pay_5c0b8bab0f3a,processed,{}
setl_44744dfb774a,setl_44744dfb774a,merch_1d7b999b,376.69,2026-01-26T03:49:00,pay_f0f5e2692db4,processed,{}
setl_f55b40f897d0,setl_f55b40f897d0,merch_1d7b999b,47902.51,2026-01-18T14:03:00,pay_38925e88db79,processed,{}
setl_5e0202c52a09,setl_5e0202c52a09,merch_1d7b999b,40100.69,2026-01-23T16:35:00,pay_07839bfb840d,processed,{}
setl_0a18806581bd,setl_0a18806581bd,merch_1d7b999b,35991.77,2026-01-18T13:53:00,wrong_pay_ad6452dcca98,processed,{}
setl_b9c2531c00cc,setl_b9c2531c00cc,merch_1d7b999b,37208.41,2026-01-17T14:16:00,pay_bf6f00149483,processed,{}
setl_a5a08e60ef33,setl_a5a08e60ef33,merch_1d7b999b,38905.97,2026-01-17T20:15:00,pay_73151759f16e,processed,{}
setl_c78ff40e210c,setl_c78ff40e210c,merch_1d7b999b,14357.83,2026-01-10T10:20:00,pay_4fb66db9c070,processed,{}
setl_b0864ff6d098,setl_b0864ff6d098,merch_1d7b999b,11639.95,2026-01-24T04:45:00,pay_62390443df13,processed,{}
setl_59515939a0e7,setl_59515939a0e7,merch_1d7b999b,16610.98,2026-01-16T13:03:00,pay_1f5a4da39243,processed,{}
setl_e7726df2c969,setl_e7726df2c969,merch_1d7b999b,38512.81,2026-02-01T22:01:00,pay_d6425b1a0b56,processed,{}
setl_9dccff085bd6,setl_9dccff085bd6,merch_1d7b999b,27352.0,2026-01-21T07:31:00,pay_10570d19b4f8,processed,{}
setl_a2a27456b625,setl_a2a27456b625,merch_1d7b999b,1517.37,2026-01-12T21:43:00,pay_9a42dcfa8644,processed,{}
setl_6961486c1e1f,setl_6961486c1e1f,merch_1d7b999b,45985.13,2026-01-21T17:01:00,pay_6f69d55a335a,processed,{}
setl_5079884ab395,setl_5079884ab395,merch_1d7b999b,1452.39,2026-01-22T13:08:00,pay_b6dcbd5ad11b,processed,{}
setl_9b3c31c0b5ca,setl_9b3c31c0b5ca,merch_1d7b999b,19017.28,2026-01-08T14:20:00,pay_44d80f606c9d,processed,{}
setl_0714dd19b38c,setl_0714dd19b38c,merch_1d7b999b,47565.09,2026-01-15T08:53:00,pay_7a8f1f640942,processed,{}
setl_c56e450a76d3,setl_c56e450a76d3,merch_1d7b999b,27017.01,2026-02-01T11:14:00,pay_094eef162d8c,processed,{}
setl_e06264a6b69b,setl_e06264a6b69b,merch_1d7b999b,1648.4,2026-01-09T06:53:00,pay_ef9522c807f9,processed,{}
setl_40a54001870b,setl_40a54001870b,merch_1d7b999b,6408.43,2026-01-23T03:36:00,pay_323f0add6551,processed,{}
setl_bf39f422a98d,setl_bf39f422a98d,merch_1d7b999b,19184.11,2026-01-07T19:38:00,pay_dee36eaf93af,processed,{}
setl_2a4321236779,setl_2a4321236779,merch_1d7b999b,5494.13,2026-01-06T09:36:00,pay_fb421fa7b217,processed,{}
setl_26227edb04d2,setl_26227edb04d2,merch_1d7b999b,10006.66,2026-01-20T22:53:00,pay_697cb2f2bc41,processed,{}
setl_a98c6ed0d7ef,setl_a98c6ed0d7ef,merch_1d7b999b,15148.98,2026-01-23T19:51:00,pay_a10b7f5d3946,processed,{}
setl_a98c6ed0d7ef_dup,setl_a98c6ed0d7ef_dup,merch_1d7b999b,15148.98,2026-01-23T19:51:00,pay_a10b7f5d3946,processed,{}
setl_580f5b520610,setl_580f5b520610,merch_1d7b999b,17435.47,2026-01-15T21:23:00,pay_694843324e73,processed,{}
setl_d2a3e12b3798,setl_d2a3e12b3798,merch_1d7b999b,741.34,2026-01-15T15:06:00,pay_13b9dd4b9a19,processed,{}
setl_f190346a2417,setl_f190346a2417,merch_1d7b999b,20726.24,2026-01-24T04:27:00,pay_95a247691726,processed,{}
setl_30bedcb0241f,setl_30bedcb0241f,merch_1d7b999b,13577.11,2026-01-27T17:49:00,pay_54d73955294b,processed,{}
setl_0ee9cff81d0f,setl_0ee9cff81d0f,merch_1d7b999b,36578.21,2026-01-10T10:54:00,pay_2b92a694a65e,processed,{}
setl_582001888198,setl_582001888198,merch_1d7b999b,22595.02,2026-01-26T14:36:00,pay_acdee13e58f3,processed,{}
setl_2435b02eb57d,setl_2435b02eb57d,merch_1d7b999b,42562.55,2026-01-07T15:13:00,pay_ce8398da24a8,processed,{}
setl_88792603a44a,setl_88792603a44a,merch_1d7b999b,44027.97,2026-01-28T08:35:00,pay_3f27af7211d1,processed,{}
setl_da880fde2687,setl_da880fde2687,merch_1d7b999b,4382.09,2026-01-25T13:31:00,pay_9886e91454e1,processed,{}
setl_9b4a7b04d03a,setl_9b4a7b04d03a,merch_1d7b999b,24591.98,2026-01-27T00:05:00,pay_f573dd5f6280,processed,{}
setl_95decaa7d80e,setl_95decaa7d80e,merch_1d7b999b,12240.93,2026-01-23T18:23:00,pay_37837dd8e1dc,processed,{}
setl_fde0f382d88f,setl_fde0f382d88f,merch_1d7b999b,21332.64,2026-01-25T17:21:00,pay_e1d9e2c5bcff,processed,{}
setl_0655d4842307,setl_0655d4842307,merch_1d7b999b,47548.79,2026-01-24T05:12:00,pay_4656e9720ece,processed,{}
setl_30c24fef46b0,setl_30c24fef46b0,merch_1d7b999b,29520.39,2026-01-26T16:38:00,pay_87e057ee018a,processed,{}
setl_30c24fef46b0_dup,setl_30c24fef46b0_dup,merch_1d7b999b,29520.39,2026-01-26T16:38:00,pay_87e057ee018a,processed,{}
setl_f9702c1a65c9,setl_f9702c1a65c9,merch_1d7b999b,14882.7,2026-01-13T05:19:00,pay_2f09ee6561fd,processed,{}
