id,external_id,merchant_id,amount,transaction_time,bank_reference,description,type,metadata_json
btxn_d15054614d12,btxn_d15054614d12,merch_7942a95e,20258.51,2026-01-08T21:11:00,pay_730f70538391,Settlement setl_b236c4d46a44,CREDIT,{}
btxn_3469cdcee088,btxn_3469cdcee088,merch_7942a95e,4420.27,2026-01-25T14:33:00,pay_1001b1da8695,Settlement setl_5c43d38f03c3,CREDIT,{}
btxn_3206c8201828,btxn_3206c8201828,merch_7942a95e,24514.82,2026-01-16T01:39:00,pay_393361bbb612,Settlement setl_371f247b5524,CREDIT,{}
btxn_219453229941,btxn_219453229941,merch_7942a95e,43088.46,2026-01-08T06:29:00,pay_2ed996bda342,Settlement setl_914f4fa685cc,CREDIT,{}
btxn_3d89f07cd640,btxn_3d89f07cd640,merch_7942a95e,47348.27,2026-01-18T23:49:00,pay_2191a425cae5,Settlement setl_a5f3869eae21,CREDIT,{}
btxn_932a26c45779,btxn_932a26c45779,merch_7942a95e,2228.31,2026-01-19T02:27:00,pay_3c3c77d10999,Settlement setl_a6b6c491bb72,CREDIT,{}
btxn_8b1a48e1f4e4,btxn_8b1a48e1f4e4,merch_7942a95e,26762.07,2026-01-16T18:57:00,pay_c96697e6aae0,Settlement setl_5fac89c0d4b2,CREDIT,{}
btxn_c2b0350e976e,btxn_c2b0350e976e,merch_7942a95e,2660.76,2026-01-06T08:58:00,pay_35fc5803dc87,Settlement setl_7ae6d5883ae2,CREDIT,{}
btxn_717efc98648c,btxn_717efc98648c,merch_7942a95e,49146.12,2026-02-01T18:42:00,pay_dfbf63ff301c,Settlement setl_25b3d52cf5c6,CREDIT,{}
btxn_5596a4822b14,btxn_5596a4822b14,merch_7942a95e,8642.24,2026-01-23T15:05:00,pay_043151a60e19,Settlement setl_e26553b55eb3,CREDIT,{}
btxn_db3402b68fa3,btxn_db3402b68fa3,merch_7942a95e,15559.37,2026-01-02T14:21:00,pay_d242e4cb50f0,Settlement setl_4b43b3533c55,CREDIT,{}
btxn_f649d10464f9,btxn_f649d10464f9,merch_7942a95e,45008.51,2026-01-03T22:13:00,pay_c482e2d7d190,Settlement setl_55d3cd0dfcbf,CREDIT,{}
btxn_f7a880e08bf4,btxn_f7a880e08bf4,merch_7942a95e,41274.18,2026-01-06T13:44:00,pay_eaa7eae9dbbe,Settlement setl_4c499f55e3e0,CREDIT,{}
btxn_5a3363f84c7d,btxn_5a3363f84c7d,merch_7942a95e,43210.08,2026-01-22T01:09:00,pay_c814799d37cc,Settlement setl_6c16edc53cb8,CREDIT,{}
btxn_15b80c2f0743,btxn_15b80c2f0743,merch_7942a95e,7123.38,2026-01-07T07:26:00,pay_d0c7751e7e65,Settlement setl_8e146e5af7e3,CREDIT,{}
btxn_b70ca5919ac3,btxn_b70ca5919ac3,merch_7942a95e,15702.94,2026-01-17T09:54:00,pay_902669632324,Settlement setl_0301e01c00ef,CREDIT,{}
btxn_a97783b0b29a,btxn_a97783b0b29a,merch_7942a95e,18148.96,2026-01-23T04:32:00,pay_798020851cf1,Settlement setl_31155306bc49,CREDIT,{}
btxn_99b99e292542,btxn_99b99e292542,merch_7942a95e,2479.11,2026-01-08T14:25:00,pay_824d9ed233e3,Settlement setl_6b7e502b8a45,CREDIT,{}
btxn_56dc50462367,btxn_56dc50462367,merch_7942a95e,19239.37,2026-01-16T04:56:00,pay_b70c9a55ed00,Settlement setl_9333d2d43be3,CREDIT,{}
btxn_e103107034e1,btxn_e103107034e1,merch_7942a95e,12885.01,2026-01-18T11:58:00,pay_00245f61260c,Settlement setl_991c9a3ff0fd,CREDIT,{}
btxn_bee77e122d95,btxn_bee77e122d95,merch_7942a95e,46498.55,2026-01-10T15:56:00,pay_1ea7cceb7093,Settlement setl_94e4b4ca8c72,CREDIT,{}
btxn_3b04c08f18f6,btxn_3b04c08f18f6,merch_7942a95e,41333.35,2026-01-07T11:24:00,pay_8704125ddeac,Settlement setl_26658a4552ed,CREDIT,{}
btxn_193fd0f2ed51,btxn_193fd0f2ed51,merch_7942a95e,44385.29,2026-01-13T02:42:00,pay_54ecb42d6a7a,Settlement setl_4fee2128fdb4,CREDIT,{}
btxn_9e85be41970b,btxn_9e85be41970b,merch_7942a95e,9744.52,2026-01-23T23:10:00,pay_88f405a4d572,Settlement setl_196d067f3a54,CREDIT,{}
btxn_4e834aae019f,btxn_4e834aae019f,merch_7942a95e,37657.28,2026-01-24T09:26:00,pay_536e6c5ce808,Settlement setl_708f930a2138,CREDIT,{}
btxn_dba5a81b78f9,btxn_dba5a81b78f9,merch_7942a95e,5705.37,2026-01-19T08:00:00,pay_aa67c4e89204,Settlement setl_d31d7a268d18,CREDIT,{}
btxn_660b0d610997,btxn_660b0d610997,merch_7942a95e,48917.17,2026-01-07T18:50:00,pay_797cee130e35,Settlement setl_23dc45fd5df5,CREDIT,{}
btxn_bc119fbd2f67,btxn_bc119fbd2f67,merch_7942a95e,42587.46,2026-01-15T16:35:00,pay_f35dd0b4ec36,Settlement setl_d77dbe2fc5d4,CREDIT,{}
btxn_e481d5705bec,btxn_e481d5705bec,merch_7942a95e,49976.98,2026-01-27T11:04:00,pay_30d210d86a3b,Settlement setl_6a7d86ff7ccc,CREDIT,{}
btxn_15aee0a9a315,btxn_15aee0a9a315,merch_7942a95e,49591.86,2026-01-27T14:25:00,pay_4614d3b11c3d,Settlement setl_cb993e77fe5e,CREDIT,{}
btxn_54f384b73b6a,btxn_54f384b73b6a,merch_7942a95e,6510.59,2026-01-06T16:55:00,pay_3801d6aa57ea,Settlement setl_cb216404b0c9,CREDIT,{}
btxn_7100948525e8,btxn_7100948525e8,merch_7942a95e,35780.68,2026-01-13T10:13:00,pay_e3320731adff,Settlement setl_20d023642dc7,CREDIT,{}
btxn_9f9368a86055,btxn_9f9368a86055,merch_7942a95e,44499.21,2026-01-14T07:52:00,wrong_pay_2762b4102378,Settlement setl_862e44abf687,CREDIT,{}
btxn_2c28532d2e8b,btxn_2c28532d2e8b,merch_7942a95e,44474.38,2026-01-17T23:10:00,pay_7dd788cb7eee,Settlement setl_b06f6877484c,CREDIT,{}
btxn_c2fe68e1c1c4,btxn_c2fe68e1c1c4,merch_7942a95e,23047.62,2026-01-02T05:21:00,pay_aefa3aa3a72c,Settlement setl_238952289e13,CREDIT,{}
btxn_bd511ac06b7c,btxn_bd511ac06b7c,merch_7942a95e,36713.01,2026-01-20T23:34:00,pay_89a504ebf756,Settlement setl_91d20aa013df,CREDIT,{}
btxn_0024854ff91c,btxn_0024854ff91c,merch_7942a95e,16022.36,2026-01-10T07:08:00,pay_fb7b66d2809f,Settlement setl_6af489973ba4,CREDIT,{}
btxn_b2a83aa11da0,btxn_b2a83aa11da0,merch_7942a95e,17185.25,2026-01-09T19:48:00,pay_4c8a31946ceb,Settlement setl_abb82a7ca303,CREDIT,{}
btxn_bc1bb71f2818,btxn_bc1bb71f2818,merch_7942a95e,2969.58,2026-01-26T15:14:00,pay_5dea1067ed6e,Settlement setl_97dd4928729e,CREDIT,{}
btxn_f0593d68bb8b,btxn_f0593d68bb8b,merch_7942a95e,13712.79,2026-01-23T13:04:00,pay_abe5a3e23463,Settlement setl_8acebd468a58,CREDIT,{}
btxn_132ac3015b72,btxn_132ac3015b72,merch_7942a95e,17748.75,2026-02-01T19:05:00,pay_a98d8eae9cef,Settlement setl_a6c9cb9d76c4,CREDIT,{}
btxn_fff65e91a014,btxn_fff65e91a014,merch_7942a95e,7594.86,2026-01-04T03:48:00,pay_dda89d9b201e,Settlement setl_0488b7f2bd86,CREDIT,{}
btxn_1f03b6fb39be,btxn_1f03b6fb39be,merch_7942a95e,44664.92,2026-01-27T22:27:00,pay_094ef1b64b94,Settlement setl_24c248921207,CREDIT,{}
btxn_edc2666bb42c,btxn_edc2666bb42c,merch_7942a95e,5645.68,2026-01-17T22:33:00,pay_24655a1dfd5c,Settlement setl_6f7f99532741,CREDIT,{}
btxn_8dbb078e9e76,btxn_8dbb078e9e76,merch_7942a95e,33455.12,2026-01-05T09:36:00,pay_81db965c324f,Settlement setl_531e786bfb84,CREDIT,{}
btxn_5c4a8f13e163,btxn_5c4a8f13e163,merch_7942a95e,4100.92,2026-01-28T07:56:00,pay_a165fdceeede,Settlement setl_f9ffb14877cc,CREDIT,{}
btxn_993c334d6799,btxn_993c334d6799,merch_7942a95e,15738.48,2026-01-03T20:25:00,pay_6098218bf37e,Settlement setl_e3e2176c4f02,CREDIT,{}
btxn_1468ad9b089b,btxn_1468ad9b089b,merch_7942a95e,6724.04,2026-01-02T11:51:00,pay_c1d6e7a9ebff,Settlement setl_e959927d31c3,CREDIT,{}
btxn_a539aff8eeac,btxn_a539aff8eeac,merch_7942a95e,21432.07,2026-01-04T03:22:00,pay_149fa2ef193a,Settlement setl_7751d4a0c92a,CREDIT,{}
btxn_452bd959b145,btxn_452bd959b145,merch_7942a95e,42344.38,2026-01-23T12:51:00,pay_05c82d2527f6,Settlement setl_069995f528c6,CREDIT,{}
btxn_9927017dd91e,btxn_9927017dd91e,merch_7942a95e,21013.1,2026-01-24T09:11:00,pay_b400d1382e4d,Settlement setl_9913b66eead5,CREDIT,{}
btxn_f9381cd0958c,btxn_f9381cd0958c,merch_7942a95e,10686.93,2026-01-22T10:10:00,pay_3f8f03a7e9b1,Settlement setl_863b6bc1ad58,CREDIT,{}
btxn_ea1e2cb7a444,btxn_ea1e2cb7a444,merch_7942a95e,47185.88,2026-01-28T08:08:00,pay_aa0b8423a2b2,Settlement setl_7ca0434e359f,CREDIT,{}
btxn_f928ce521d34,btxn_f928ce521d34,merch_7942a95e,49461.17,2026-01-10T07:37:00,pay_42f465c1cec1,Settlement setl_9ff79a214224,CREDIT,{}
btxn_9b1d4a2a3d3b,btxn_9b1d4a2a3d3b,merch_7942a95e,32214.2,2026-01-18T14:59:00,pay_48d648f53a89,Settlement setl_7eac491ac226,CREDIT,{}
btxn_c16a2737b251,btxn_c16a2737b251,merch_7942a95e,11742.49,2026-01-15T06:30:00,pay_705bb190ada6,Settlement setl_df8e5d336649,CREDIT,{}
btxn_6e776c22d649,btxn_6e776c22d649,merch_7942a95e,11707.78,2026-01-20T17:13:00,pay_a49cdda943ea,Settlement setl_1cd4aaa12192,CREDIT,{}
btxn_8ef9aec9fd0b,btxn_8ef9aec9fd0b,merch_7942a95e,44414.40,2026-01-07T06:30:00,pay_a8860bae50f7,Settlement setl_874ac0170a22,CREDIT,{}
btxn_f1b1dc02ea28,btxn_f1b1dc02ea28,merch_7942a95e,12900.78,2026-01-22T18:43:00,pay_7b62195a962f,Settlement setl_d74751c5036d,CREDIT,{}
btxn_f239c62351c0,btxn_f239c62351c0,merch_7942a95e,12101.2,2026-01-09T23:45:00,pay_abc03b1d954c,Settlement setl_23497b56754e,CREDIT,{}
btxn_d81bf63c17b7,btxn_d81bf63c17b7,merch_7942a95e,3716.87,2026-01-10T12:49:00,pay_04973e129c1a,Settlement setl_1add58bbe4b0,CREDIT,{}
btxn_12f466ce6628,btxn_12f466ce6628,merch_7942a95e,39693.74,2026-01-02T03:27:00,pay_333ab1b1b350,Settlement setl_e46e1a0a8fe2,CREDIT,{}
btxn_b244bcfad7b0,btxn_b244bcfad7b0,merch_7942a95e,2593.63,2026-01-11T07:17:00,pay_843cc0b31c5a,Settlement setl_7735f91950fc,CREDIT,{}
btxn_f4056df0fded,btxn_f4056df0fded,merch_7942a95e,14837.08,2026-01-25T13:07:00,pay_a77c715a692b,Settlement setl_f2a4d9e9c229,CREDIT,{}
btxn_f35f80c71376,btxn_f35f80c71376,merch_7942a95e,34860.05,2026-01-18T10:12:00,pay_ca191241d839,Settlement setl_61ba10d68b2a,CREDIT,{}
btxn_6d25f9f40fb2,btxn_6d25f9f40fb2,merch_7942a95e,1458.17,2026-01-09T06:38:00,pay_8587294003bc,Settlement setl_d2a3a79e5989,CREDIT,{}
btxn_649efe25b11b,btxn_649efe25b11b,merch_7942a95e,1174.67,2026-01-07T08:14:00,pay_b34bc1d29e26,Settlement setl_79beee253da0,CREDIT,{}
btxn_e81da8df2c1e,btxn_e81da8df2c1e,merch_7942a95e,47076.52,2026-01-22T02:27:00,pay_29de6281c14b,Settlement setl_1dd0140a4149,CREDIT,{}
btxn_aa7fe1f1e8e3,btxn_aa7fe1f1e8e3,merch_7942a95e,33932.08,2026-01-25T13:31:00,pay_347ab7dac125,Settlement setl_3b8a374f4cb5,CREDIT,{}
btxn_e22e383b6bb7,btxn_e22e383b6bb7,merch_7942a95e,38406.95,2026-01-30T22:16:00,pay_7b7f035072d4,Settlement setl_fdd566de8a1d,CREDIT,{}
btxn_0bde03d84645,btxn_0bde03d84645,merch_7942a95e,13736.23,2026-01-09T04:59:00,pay_441e35620b3d,Settlement setl_4ec870c874de,CREDIT,{}
btxn_80de521efcc5,btxn_80de521efcc5,merch_7942a95e,31083.85,2026-01-10T11:39:00,pay_9c47312aa06a,Settlement setl_c26e6815c19e,CREDIT,{}
btxn_b8ea78d88b57,btxn_b8ea78d88b57,merch_7942a95e,6185.3,2026-01-02T11:31:00,pay_24b24872bfac,Settlement setl_24302aa8e905,CREDIT,{}
btxn_9e202e3a557e,btxn_9e202e3a557e,merch_7942a95e,37754.5,2026-01-18T09:38:00,wrong_pay_0281bdf8d706,Settlement setl_019880dd4b53,CREDIT,{}
btxn_6fd4abbc30a3,btxn_6fd4abbc30a3,merch_7942a95e,16990.64,2026-01-21T04:44:00,pay_a2bf3b300b73,Settlement setl_5a8b484364bc,CREDIT,{}
btxn_6de17b103115,btxn_6de17b103115,merch_7942a95e,31748.67,2026-01-29T15:12:00,pay_1095a7cf49a9,Settlement setl_243d0d208a85,CREDIT,{}
btxn_f12775a7827b,btxn_f12775a7827b,merch_7942a95e,28978.84,2026-01-02T05:51:00,pay_f77d52150e44,Settlement setl_9ed8043e1aaa,CREDIT,{}
btxn_929342df68dd,btxn_929342df68dd,merch_7942a95e,32044.23,2026-01-05T02:27:00,pay_216aeff805e4,Settlement setl_51f8f83973f4,CREDIT,{}
btxn_1b662365eb2a,btxn_1b662365eb2a,merch_7942a95e,40965.75,2026-01-24T11:11:00,pay_60f0a9ada806,Settlement setl_d5cea9f9fc97,CREDIT,{}
btxn_9512dc383a5e,btxn_9512dc383a5e,merch_7942a95e,9318.09,2026-01-15T14:40:00,pay_2fa19c65a4b6,Settlement setl_f14a260d9111,CREDIT,{}
btxn_e903103d4547,btxn_e903103d4547,merch_7942a95e,26366.7,2026-01-11T01:10:00,pay_4ccf38ad12a5,Settlement setl_60b34d7a2ad6,CREDIT,{}
btxn_66e890c05ed0,btxn_66e890c05ed0,merch_7942a95e,29678.94,2026-01-04T10:30:00,pay_9da441280c52,Settlement setl_f65108ad6afa,CREDIT,{}
btxn_56842c88b6b3,btxn_56842c88b6b3,merch_7942a95e,29926.92,2026-01-08T18:19:00,pay_ef555c6311da,Settlement setl_1c806d55ea5a,CREDIT,{}
btxn_ecdded692147,btxn_ecdded692147,merch_7942a95e,31762.47,2026-01-16T11:09:00,pay_f3c4253386fb,Settlement setl_5503d6f780db,CREDIT,{}
btxn_c830ff728c75,btxn_c830ff728c75,merch_7942a95e,40118.52,2026-01-09T21:22:00,pay_e8d6dfda1c20,Settlement setl_64328ef8cd23,CREDIT,{}
