id,external_id,merchant_id,settlement_amount,settlement_time,reference,status,metadata_json
setl_b236c4d46a44,setl_b236c4d46a44,merch_7942a95e,20258.51,2026-01-08T19:11:00,pay_730f70538391,processed,{}
setl_5c43d38f03c3,setl_5c43d38f03c3,merch_7942a95e,4420.27,2026-01-29T12:33:00,pay_1001b1da8695,processed,{}
setl_371f247b5524,setl_371f247b5524,merch_7942a95e,24514.82,2026-01-15T23:39:00,pay_393361bbb612,processed,{}
setl_371f247b5524_dup,setl_371f247b5524_dup,merch_7942a95e,24514.82,2026-01-15T23:39:00,pay_393361bbb612,processed,{}
setl_914f4fa685cc,setl_914f4fa685cc,merch_7942a95e,43088.46,2026-01-08T04:29:00,pay_2ed996bda342,processed,{}
setl_a5f3869eae21,setl_a5f3869eae21,merch_7942a95e,47348.27,2026-01-18T21:49:00,pay_2191a425cae5,processed,{}
setl_a6b6c491bb72,setl_a6b6c491bb72,merch_7942a95e,1114.16,2026-01-19T00:27:00,pay_3c3c77d10999,processed,{}
setl_5fac89c0d4b2,setl_5fac89c0d4b2,merch_7942a95e,26762.07,2026-01-16T16:57:00,pay_c96697e6aae0,processed,{}
setl_7ae6d5883ae2,setl_7ae6d5883ae2,merch_7942a95e,2660.76,2026-01-06T06:58:00,pay_35fc5803dc87,processed,{}
setl_25b3d52cf5c6,setl_25b3d52cf5c6,merch_7942a95e,49146.12,2026-02-01T16:42:00,pay_dfbf63ff301c,processed,{}
setl_e26553b55eb3,setl_e26553b55eb3,merch_7942a95e,8642.24,2026-01-23T13:05:00,pay_043151a60e19,processed,{}
setl_4b43b3533c55,setl_4b43b3533c55,merch_7942a95e,15559.37,2026-01-02T12:21:00,pay_d242e4cb50f0,processed,{}
setl_55d3cd0dfcbf,setl_55d3cd0dfcbf,merch_7942a95e,45008.51,2026-01-03T20:13:00,pay_c482e2d7d190,processed,{}
setl_4c499f55e3e0,setl_4c499f55e3e0,merch_7942a95e,41274.18,2026-01-06T11:44:00,pay_eaa7eae9dbbe,processed,{}
setl_6c16edc53cb8,setl_6c16edc53cb8,merch_7942a95e,43210.08,2026-01-21T23:09:00,pay_c814799d37cc,processed,{}
setl_8e146e5af7e3,setl_8e146e5af7e3,merch_7942a95e,7123.38,2026-01-07T05:26:00,pay_d0c7751e7e65,processed,{}
setl_0301e01c00ef,setl_0301e01c00ef,merch_7942a95e,15702.94,2026-01-17T07:54:00,pay_902669632324,processed,{}
setl_31155306bc49,setl_31155306bc49,merch_7942a95e,18148.96,2026-01-23T02:32:00,pay_798020851cf1,processed,{}
setl_6b7e502b8a45,setl_6b7e502b8a45,merch_7942a95e,2479.11,2026-01-08T12:25:00,pay_824d9ed233e3,processed,{}
setl_9333d2d43be3,setl_9333d2d43be3,merch_7942a95e,9619.68,2026-01-16T02:56:00,pay_b70c9a55ed00,processed,{}
setl_991c9a3ff0fd,setl_991c9a3ff0fd,merch_7942a95e,12885.01,2026-01-18T09:58:00,pay_00245f61260c,processed,{}
setl_94e4b4ca8c72,setl_94e4b4ca8c72,merch_7942a95e,23249.28,2026-01-10T13:56:00,pay_1ea7cceb7093,processed,{}
setl_26658a4552ed,setl_26658a4552ed,merch_7942a95e,41333.35,2026-01-07T09:24:00,pay_8704125ddeac,processed,{}
setl_4fee2128fdb4,setl_4fee2128fdb4,merch_7942a95e,22192.64,2026-01-13T00:42:00,pay_54ecb42d6a7a,processed,{}
setl_196d067f3a54,setl_196d067f3a54,merch_7942a95e,9744.52,2026-01-23T21:10:00,pay_88f405a4d572,processed,{}
setl_708f930a2138,setl_708f930a2138,merch_7942a95e,37657.28,2026-01-24T07:26:00,pay_536e6c5ce808,processed,{}
setl_d31d7a268d18,setl_d31d7a268d18,merch_7942a95e,5705.37,2026-01-23T06:00:00,pay_aa67c4e89204,processed,{}
setl_23dc45fd5df5,setl_23dc45fd5df5,merch_7942a95e,48917.17,2026-01-07T16:50:00,pay_797cee130e35,processed,{}
setl_d77dbe2fc5d4,setl_d77dbe2fc5d4,merch_7942a95e,42597.46,2026-01-15T14:35:00,pay_f35dd0b4ec36,processed,{}
setl_6a7d86ff7ccc,setl_6a7d86ff7ccc,merch_7942a95e,49976.98,2026-01-27T09:04:00,pay_30d210d86a3b,processed,{}
setl_cb993e77fe5e,setl_cb993e77fe5e,merch_7942a95e,49591.86,2026-01-27T12:25:00,pay_4614d3b11c3d,processed,{}
setl_cb216404b0c9,setl_cb216404b0c9,merch_7942a95e,6510.59,2026-01-06T14:55:00,pay_3801d6aa57ea,processed,{}
setl_20d023642dc7,setl_20d023642dc7,merch_7942a95e,35780.68,2026-01-13T08:13:00,pay_e3320731adff,processed,{}
setl_862e44abf687,setl_862e44abf687,merch_7942a95e,44499.21,2026-01-14T05:52:00,wrong_pay_2762b4102378,processed,{}
setl_b06f6877484c,setl_b06f6877484c,merch_7942a95e,44474.38,2026-01-17T21:10:00,pay_7dd788cb7eee,processed,{}
setl_238952289e13,setl_238952289e13,merch_7942a95e,23047.62,2026-01-02T03:21:00,pay_aefa3aa3a72c,processed,{}
setl_91d20aa013df,setl_91d20aa013df,merch_7942a95e,36713.01,2026-01-20T21:34:00,pay_89a504ebf756,processed,{}
setl_6af489973ba4,setl_6af489973ba4,merch_7942a95e,16022.36,2026-01-10T05:08:00,pay_fb7b66d2809f,processed,{}
setl_abb82a7ca303,setl_abb82a7ca303,merch_7942a95e,17185.25,2026-01-09T17:48:00,pay_4c8a31946ceb,processed,{}
setl_abb82a7ca303_dup,setl_abb82a7ca303_dup,merch_7942a95e,17185.25,2026-01-09T17:48:00,pay_4c8a31946ceb,processed,{}
setl_97dd4928729e,setl_97dd4928729e,merch_7942a95e,2969.58,2026-01-26T13:14:00,pay_5dea1067ed6e,processed,{}
setl_8acebd468a58,setl_8acebd468a58,merch_7942a95e,13712.79,2026-01-23T11:04:00,pay_abe5a3e23463,processed,{}
setl_a6c9cb9d76c4,setl_a6c9cb9d76c4,merch_7942a95e,17748.75,2026-02-01T17:05:00,pay_a98d8eae9cef,processed,{}
setl_a6c9cb9d76c4_dup,setl_a6c9cb9d76c4_dup,merch_7942a95e,17748.75,2026-02-01T17:05:00,pay_a98d8eae9cef,processed,{}
setl_0488b7f2bd86,setl_0488b7f2bd86,merch_7942a95e,7594.86,2026-01-04T01:48:00,pay_dda89d9b201e,processed,{}
setl_24c248921207,setl_24c248921207,merch_7942a95e,44664.92,2026-01-27T20:27:00,pay_094ef1b64b94,processed,{}
setl_6f7f99532741,setl_6f7f99532741,merch_7942a95e,5645.68,2026-01-17T20:33:00,pay_24655a1dfd5c,processed,{}
setl_531e786bfb84,setl_531e786bfb84,merch_7942a95e,33455.12,2026-01-05T07:36:00,pay_81db965c324f,processed,{}
setl_f9ffb14877cc,setl_f9ffb14877cc,merch_7942a95e,4100.92,2026-01-28T05:56:00,pay_a165fdceeede,processed,{}
setl_e3e2176c4f02,setl_e3e2176c4f02,merch_7942a95e,15738.48,2026-01-07T18:25:00,pay_6098218bf37e,processed,{}
setl_e959927d31c3,setl_e959927d31c3,merch_7942a95e,6724.04,2026-01-02T09:51:00,pay_c1d6e7a9ebff,processed,{}
setl_7751d4a0c92a,setl_7751d4a0c92a,merch_7942a95e,21442.07,2026-01-04T01:22:00,pay_149fa2ef193a,processed,{}
setl_069995f528c6,setl_069995f528c6,merch_7942a95e,42344.38,2026-01-23T10:51:00,pay_05c82d2527f6,processed,{}
setl_069995f528c6_dup,setl_069995f528c6_dup,merch_7942a95e,42344.38,2026-01-23T10:51:00,pay_05c82d2527f6,processed,{}
setl_9913b66eead5,setl_9913b66eead5,merch_7942a95e,10506.55,2026-01-24T07:11:00,pay_b400d1382e4d,processed,{}
setl_863b6bc1ad58,setl_863b6bc1ad58,merch_7942a95e,10686.93,2026-01-22T08:10:00,pay_3f8f03a7e9b1,processed,{}
setl_7ca0434e359f,setl_7ca0434e359f,merch_7942a95e,47185.88,2026-01-28T06:08:00,pay_aa0b8423a2b2,processed,{}
setl_9ff79a214224,setl_9ff79a214224,merch_7942a95e,49461.17,2026-01-10T05:37:00,pay_42f465c1cec1,processed,{}
setl_7eac491ac226,setl_7eac491ac226,merch_7942a95e,32214.2,2026-01-18T12:59:00,pay_48d648f53a89,processed,{}
setl_df8e5d336649,setl_df8e5d336649,merch_7942a95e,11742.49,2026-01-15T04:30:00,pay_705bb190ada6,processed,{}
setl_1cd4aaa12192,setl_1cd4aaa12192,merch_7942a95e,11717.78,2026-01-20T15:13:00,pay_a49cdda943ea,processed,{}
setl_874ac0170a22,setl_874ac0170a22,merch_7942a95e,44414.40,2026-01-07T04:30:00,pay_a8860bae50f7,processed,{}
setl_d74751c5036d,setl_d74751c5036d,merch_7942a95e,12900.78,2026-01-22T16:43:00,pay_7b62195a962f,processed,{}
setl_23497b56754e,setl_23497b56754e,merch_7942a95e,12101.2,2026-01-09T21:45:00,pay_abc03b1d954c,processed,{}
setl_1add58bbe4b0,setl_1add58bbe4b0,merch_7942a95e,3716.87,2026-01-10T10:49:00,pay_04973e129c1a,processed,{}
setl_e46e1a0a8fe2,setl_e46e1a0a8fe2,merch_7942a95e,39693.74,2026-01-02T01:27:00,pay_333ab1b1b350,processed,{}
setl_7735f91950fc,setl_7735f91950fc,merch_7942a95e,2593.63,2026-01-11T05:17:00,pay_843cc0b31c5a,processed,{}
setl_f2a4d9e9c229,setl_f2a4d9e9c229,merch_7942a95e,14837.08,2026-01-25T11:07:00,pay_a77c715a692b,processed,{}
setl_61ba10d68b2a,setl_61ba10d68b2a,merch_7942a95e,34860.05,2026-01-22T08:12:00,pay_ca191241d839,processed,{}
setl_d2a3a79e5989,setl_d2a3a79e5989,merch_7942a95e,1458.17,2026-01-09T04:38:00,pay_8587294003bc,processed,{}
setl_79beee253da0,setl_79beee253da0,merch_7942a95e,1174.67,2026-01-07T06:14:00,pay_b34bc1d29e26,processed,{}
setl_1dd0140a4149,setl_1dd0140a4149,merch_7942a95e,47076.52,2026-01-22T00:27:00,pay_29de6281c14b,processed,{}
setl_3b8a374f4cb5,setl_3b8a374f4cb5,merch_7942a95e,33932.08,2026-01-25T11:31:00,pay_347ab7dac125,processed,{}
setl_fdd566de8a1d,setl_fdd566de8a1d,merch_7942a95e,38406.95,2026-01-30T20:16:00,pay_7b7f035072d4,processed,{}
setl_fdd566de8a1d_dup,setl_fdd566de8a1d_dup,merch_7942a95e,38406.95,2026-01-30T20:16:00,pay_7b7f035072d4,processed,{}
setl_4ec870c874de,setl_4ec870c874de,merch_7942a95e,13736.23,2026-01-09T02:59:00,pay_441e35620b3d,processed,{}
setl_c26e6815c19e,setl_c26e6815c19e,merch_7942a95e,31083.85,2026-01-10T09:39:00,pay_9c47312aa06a,processed,{}
setl_24302aa8e905,setl_24302aa8e905,merch_7942a95e,6185.3,2026-01-02T09:31:00,pay_24b24872bfac,processed,{}
setl_24302aa8e905_dup,setl_24302aa8e905_dup,merch_7942a95e,6185.3,2026-01-02T09:31:00,pay_24b24872bfac,processed,{}
setl_019880dd4b53,setl_019880dd4b53,merch_7942a95e,37754.5,2026-01-18T07:38:00,wrong_pay_0281bdf8d706,processed,{}
