id,external_id,merchant_id,amount,transaction_time,bank_reference,description,type,metadata_json
btxn_764148cfac0d,btxn_764148cfac0d,merch_custom_3,388.99,2026-03-07T01:31:00,pay_6d5f79e2a7ac,Settlement setl_f81dca290a04,CREDIT,{}
btxn_cee4db1eadaf,btxn_cee4db1eadaf,merch_custom_3,3686.98,2026-03-05T14:03:00,pay_6668f2fbd222,Settlement setl_059740acf905,CREDIT,{}
btxn_84172ab2ede5,btxn_84172ab2ede5,merch_custom_3,2780.2,2026-03-07T14:58:00,pay_fddaed557e6d,Settlement setl_b131baa638ae,CREDIT,{}
btxn_2aa3a98600fc,btxn_2aa3a98600fc,merch_custom_3,4361.72,2026-03-04T18:32:00,wrong_pay_7f601ef94183,Settlement setl_4c99266e86ca,CREDIT,{}
btxn_9aa57629a39f,btxn_9aa57629a39f,merch_custom_3,4140.25,2026-03-07T11:51:00,pay_fad305455f6a,Settlement setl_48ffd267de3e,CREDIT,{}
btxn_cccd324cde40,btxn_cccd324cde40,merch_custom_3,4347.59,2026-03-05T00:13:00,pay_5a4313196aa5,Settlement setl_3e3c38fd9792,CREDIT,{}
btxn_b51be16239db,btxn_b51be16239db,merch_custom_3,3964.03,2026-03-08T17:00:00,pay_84bcaf90f2df,Settlement setl_845f1f8bf356,CREDIT,{}
btxn_349781391564,btxn_349781391564,merch_custom_3,3855.34,2026-03-04T22:06:00,pay_1256543984d1,Settlement setl_6238eb395026,CREDIT,{}
btxn_9f773b80ae17,btxn_9f773b80ae17,merch_custom_3,1843.94,2026-03-08T06:33:00,pay_01fb096fdebe,Settlement setl_bfc9dc12d819,CREDIT,{}
btxn_0ad10fefe4ed,btxn_0ad10fefe4ed,merch_custom_3,1739.55,2026-03-06T08:30:00,pay_a026542f65a3,Settlement setl_1c22a15aae38,CREDIT,{}
btxn_f4000df1dcb4,btxn_f4000df1dcb4,merch_custom_3,4208.04,2026-03-07T02:43:00,pay_20e66afb2e69,Settlement setl_aa6a382bb7b8,CREDIT,{}
btxn_c7ff7b3afa99,btxn_c7ff7b3afa99,merch_custom_3,4180.9,2026-03-06T04:33:00,pay_d678a0cd9fb1,Settlement setl_f048c6a1fb15,CREDIT,{}
btxn_153b519e2e2b,btxn_153b519e2e2b,merch_custom_3,620.24,2026-03-06T18:25:00,pay_d1e395bd2b7f,Settlement setl_2711c59628fa,CREDIT,{}
btxn_6f6691544c8b,btxn_6f6691544c8b,merch_custom_3,3832.56,2026-03-09T04:02:00,pay_1285f0b0082d,Settlement setl_c06259235862,CREDIT,{}
btxn_069c5a483212,btxn_069c5a483212,merch_custom_3,2450.93,2026-03-08T12:48:00,pay_5b30aa378cab,Settlement setl_a210a92d84a6,CREDIT,{}
btxn_4ba8d492326a,btxn_4ba8d492326a,merch_custom_3,846.97,2026-03-05T22:12:00,pay_3de92a81ef46,Settlement setl_de4bb4fc5fa5,CREDIT,{}
btxn_d287cc6a1d84,btxn_d287cc6a1d84,merch_custom_3,4940.76,2026-03-05T03:58:00,pay_14965f03b7d4,Settlement setl_5d5f017b05e8,CREDIT,{}
btxn_4c27e77d39e6,btxn_4c27e77d39e6,merch_custom_3,2057.26,2026-03-06T10:25:00,pay_a16424f12beb,Settlement setl_036adba8e99f,CREDIT,{}
btxn_8cedcfbac45d,btxn_8cedcfbac45d,merch_custom_3,31.4,2026-03-05T06:48:00,pay_772f607830b8,Settlement setl_18aff9f6d586,CREDIT,{}
btxn_f5631632ee41,btxn_f5631632ee41,merch_custom_3,2245.33,2026-03-04T03:09:00,pay_ebf94dacc385,Settlement setl_061800a02883,CREDIT,{}
btxn_bfc984e2d42d,btxn_bfc984e2d42d,merch_custom_3,3272.03,2026-03-04T02:45:00,pay_c7e50a32a064,Settlement setl_14c38353a619,CREDIT,{}
