id,external_id,merchant_id,settlement_amount,settlement_time,reference,status,metadata_json
setl_batch3_0000,setl_batch3_0000,merch_custom_3,398.99,2026-03-06T23:31:00,pay_batch3_0000,processed,{}
setl_batch3_0001,setl_batch3_0001,merch_custom_3,3686.98,2026-03-05T12:03:00,pay_batch3_0001,processed,{}
setl_batch3_0002,setl_batch3_0002,merch_custom_3,2790.20,2026-03-07T12:58:00,pay_batch3_0002,processed,{}
setl_batch3_0003,setl_batch3_0003,merch_custom_3,4361.72,2026-03-04T16:32:00,wrong_pay_batch3_0003,processed,{}
setl_batch3_0004,setl_batch3_0004,merch_custom_3,4140.25,2026-03-07T09:51:00,pay_batch3_0004,processed,{}
setl_batch3_0005,setl_batch3_0005,merch_custom_3,4347.59,2026-03-04T22:13:00,pay_batch3_0005,processed,{}
setl_batch3_0006,setl_batch3_0006,merch_custom_3,3964.03,2026-03-08T15:00:00,pay_batch3_0006,processed,{}
setl_batch3_0007,setl_batch3_0007,merch_custom_3,3855.34,2026-03-04T20:06:00,pay_batch3_0007,processed,{}
setl_batch3_0008,setl_batch3_0008,merch_custom_3,1843.94,2026-03-08T04:33:00,pay_batch3_0008,processed,{}
setl_batch3_0009,setl_batch3_0009,merch_custom_3,1739.55,2026-03-06T06:30:00,pay_batch3_0009,processed,{}
setl_batch3_0010,setl_batch3_0010,merch_custom_3,4208.04,2026-03-07T00:43:00,pay_batch3_0010,processed,{}
setl_batch3_0012,setl_batch3_0012,merch_custom_3,4180.9,2026-03-06T02:33:00,pay_batch3_0012,processed,{}
setl_batch3_0013,setl_batch3_0013,merch_custom_3,620.24,2026-03-06T16:25:00,pay_batch3_0013,processed,{}
setl_batch3_0014,setl_batch3_0014,merch_custom_3,3832.56,2026-03-09T02:02:00,pay_batch3_0014,processed,{}
setl_batch3_0015,setl_batch3_0015,merch_custom_3,2450.93,2026-03-08T10:48:00,pay_batch3_0015,processed,{}
setl_batch3_0015_dup,setl_batch3_0015_dup,merch_custom_3,2450.93,2026-03-08T10:48:00,pay_batch3_0015,processed,{}
setl_batch3_0016,setl_batch3_0016,merch_custom_3,846.97,2026-03-05T20:12:00,pay_batch3_0016,processed,{}
setl_batch3_0017,setl_batch3_0017,merch_custom_3,4940.76,2026-03-05T01:58:00,pay_batch3_0017,processed,{}
setl_batch3_0018,setl_batch3_0018,merch_custom_3,2057.26,2026-03-06T08:25:00,pay_batch3_0018,processed,{}
setl_batch3_0019,setl_batch3_0019,merch_custom_3,31.4,2026-03-05T04:48:00,pay_batch3_0019,processed,{}
setl_batch3_0020,setl_batch3_0020,merch_custom_3,2245.33,2026-03-04T01:09:00,pay_batch3_0020,processed,{}
setl_batch3_0021,setl_batch3_0021,merch_custom_3,3272.03,2026-03-04T00:45:00,pay_batch3_0021,processed,{}
setl_batch3_0022,setl_batch3_0022,merch_custom_3,1868.09,2026-03-04T17:49:00,wrong_pay_batch3_0022,processed,{}
setl_batch3_0023,setl_batch3_0023,merch_custom_3,677.72,2026-03-09T16:57:00,pay_batch3_0023,processed,{}
setl_batch3_0024,setl_batch3_0024,merch_custom_3,1830.11,2026-03-05T15:03:00,pay_batch3_0024,processed,{}
setl_batch3_0025,setl_batch3_0025,merch_custom_3,358.03,2026-03-05T02:59:00,pay_batch3_0025,processed,{}
setl_batch3_0026,setl_batch3_0026,merch_custom_3,634.86,2026-03-07T08:42:00,pay_batch3_0026,processed,{}
setl_batch3_0027,setl_batch3_0027,merch_custom_3,1533.14,2026-03-08T21:04:00,pay_batch3_0027,processed,{}
